	sentence	tag
84	I didn't hear you.	0
85	I almost forgot it.	0
86	I was nearly hit by a car.	0
87	I've waited two whole hours. I can't wait any longer.	0
88	Mary arrived at the hospital.	0
89	Mary spoke Japanese slowly.	0
90	Mary showed the letter to me.	0
91	Did Ming's father play tennis yesterday?	0
92	All were silent.	0
93	I remembered everybody.	0
94	Everybody had a good year.	0
95	Mayuko cried aloud.	0
96	Another day passed.	0
97	They asked him.	0
98	Bob became an engineer.	0
99	Bob saw him again.	0
100	Bob was very happy.	0
101	Bob helped me.	0
102	I was laughed at in school today.	0
103	A boat capsized.	0
104	My pet cat died yesterday.	0
105	Fred kicked a ball.	0
106	The buzzer sounded.	0
107	The forward kicked a goal.	0
108	Bill was in Japan.	0
109	Bill turned on the television.	0
110	Hitler led Germany into war.	0
111	Hitler invaded Poland in 1939.	0
112	Hitler assumed power in 1933.	0
113	I had a hard time.	0
114	I hurt my elbow.	0
115	I bought a Picasso.	0
116	Peter applied to his boss for a raise.	0
117	He came by bus.	0
118	The rat made a hole in the wall.	0
119	It was a mouse.	0
120	I feel it now.	0
121	The news quickly spread.	0
122	Nancy studied hard.	0
123	Why were you late?	0
124	Tracy lost her glasses.	0
125	Tolstoy achieved worldwide fame.	0
126	Tom took off his clothes and put on his pajamas.	0
127	Tom frowned.	0
128	Tom told us that he had a headache.	0
129	Tom made me a birdcage.	0
130	Tom gave me a pen.	0
131	Tom hit a triple.	0
132	Tom changed color.	0
133	Tom hurt himself.	0
134	Tom arrived last.	0
135	Where was Tom born?	0
136	Tom hid under the table.	0
137	Tom was all worn out.	0
138	Tom walked Kate home.	0
139	Tom's speech was excellent.	0
140	Tony broke it.	0
141	Tony was happy.	0
142	It was so dark.	0
143	It was really cheap.	0
144	I was very hungry.	0
145	I was at a loss for words.	0
146	The door opened.	0
147	The door clicked shut.	0
148	Dick had a traffic accident.	0
149	It was just a joke.	0
150	That hit the spot.	0
151	I met him just now.	0
152	Dan bought a new computer.	0
153	Who made the doll?	0
154	Someone entered the room.	0
155	It was a very cold winter.	0
156	I left it unlocked.	0
157	I found the book easy.	0
158	Whose idea was it?	0
159	It was a revelation to me.	0
160	It tasted sweet.	0
161	It came apart.	0
162	It was nothing but a joke.	0
163	It was a very big room.	0
164	It was such a shock.	0
165	I didn't notice it.	0
166	The train arrived on schedule.	0
167	The train arrived on time.	0
168	I found the book interesting.	0
169	Was the book interesting?	0
170	The soldier gave his name.	0
171	The prisoner was behind bars for two months.	0
172	There was almost nothing in the room.	0
173	The train was crowded.	0
174	The news made her sad.	0
175	The news made her very sad.	0
176	The news made him happy.	0
177	The man stood up.	0
178	The man connected two wires.	0
179	The man ran away.	0
180	The man blushed.	0
181	The man took my arm.	0
182	The man was handed over to the police.	0
183	The boy began to cry.	0
184	The noise kept me awake all night.	0
185	The baby was fast asleep.	0
186	I rejected the offer.	0
187	The boy ran away.	0
188	The small dog tried to get away.	0
189	I was at home then.	0
190	I was off duty at the time.	0
191	The accident happened previous to my arrival.	0
192	The accident occurred yesterday morning.	0
193	The boy remained silent.	0
194	The boy adjusted his cap.	0
195	The kid got hurt.	0
196	The dog went away.	0
197	The dog was dead.	0
198	The dog was dying.	0
199	We divided the money between us.	0
200	The nurse attended the patient.	0
201	The family ate dinner together.	0
202	The house went cheap.	0
203	The news made me happy.	0
204	I found the test difficult.	0
205	I didn't mean that.	0
206	Emi danced the most beautifully of the three girls.	0
207	I arrived there too early.	0
208	You said it!	0
209	Did Spot go, too?	0
210	Everything looked nice.	0
211	All was still.	0
212	Susan was terrified.	0
213	Except for John, they all arrived.	0
214	John inherited a large fortune.	0
215	John listened carefully.	0
216	John started the car.	0
217	John ignored my advice.	0
218	John came to Japan yesterday.	0
219	John's parents seemed relieved to hear that his plane was on time.	0
220	George was broken-hearted.	0
221	George was livid!	0
222	Judy smiled at me.	0
223	I'll take a shower.	0
224	Jack, Jill and Alice went up the hill.	0
225	Jim called me a coward.	0
226	Jane married young.	0
227	The siren blew.	0
228	The server was down.	0
229	Columbus discovered America.	0
230	This was meant as a joke.	0
231	Sorry. The train was late.	0
232	Communications broke down.	0
233	This book seemed interesting.	0
234	This book was new.	0
235	These gloves kept her hands warm.	0
236	When was this temple built?	0
237	Who broke the cup?	0
238	Ken jumped over the wall.	0
239	Ken sat next to me.	0
240	Ken beat me at chess.	0
241	Ken came up to me.	0
242	I broke a glass.	0
243	I hit the jackpot.	0
244	I was just in time for the last train.	0
245	How was today's game?	0
246	Kim was still alive.	0
247	Kim smiled sweetly.	0
248	Where did you go yesterday?	0
249	I caught three fish yesterday.	0
250	It rained yesterday.	0
251	I slept twelve hours yesterday.	0
252	Cancer took him.	0
253	Galileo dropped two iron balls from the top of the tower.	0
254	Galileo argued that the earth moves.	0
255	She wrote in ink.	0
256	The cup broke.	0
257	The curtain caught fire.	0
258	There was no bathroom.	0
259	Our money ran out.	0
260	The baby almost choked on a piece of candy.	0
261	I was hungry.	0
262	It saved me.	0
263	I got the engine going.	0
264	The engine died.	0
265	I had a flu shot.	0
266	I caught the flu.	0
267	It was her turn at last.	0
268	I met him once.	0
269	Jesus answered them.	0
270	I bought a good camera.	0
271	No, she didn't.	0
272	No, he didn't.	0
273	Ann came downstairs.	0
274	Andersen was afraid of dogs, too.	0
275	A girl phoned me.	0
276	An idea came to me.	0
277	The storm abated.	0
278	I outwitted him.	0
279	We were younger then.	0
280	That company went bankrupt.	0
281	What was that noise?	0
282	That movie was extremely interesting.	0
283	Annie ate nervously.	0
284	I was born to love you.	0
285	You were busy.	0
286	You were mine.	0
287	You made an error.	0
288	You didn't seem to want that book.	0
289	All was calm.	0
290	He shot at me.	0
291	They passed out.	0
292	I got up at seven.	0
293	I got up at about six.	0
294	Forty years passed.	0
295	A gang of three robbed the bank in broad daylight.	0
296	I was fined a dollar.	0
297	In 1943, Japan was at war.	0
298	She left home ten minutes ago.	0
299	I bought five ten-yen stamps.	0
300	The policeman arrested the thief.	0
301	The police arrested the suspect.	0
302	No students were absent.	0
303	The moon came out from behind the cloud.	0
304	Ken was in Japan last year.	0
305	The dog was hit by a truck.	0
306	I lost heart.	0
307	Words failed me.	0
308	I got a traffic ticket.	0
309	My mouth was dry.	0
310	The speaker cleared his throat.	0
311	The whistle blew.	0
312	It was now a race against time.	0
313	I was tired today.	0
314	I forgot to call him today.	0
315	I found you.	0
316	Prices dropped recently.	0
317	I saw him recently.	0
318	It was Jane who came first.	0
319	That was a close shave.	0
320	It rained hard yesterday morning.	0
321	What time did you go to bed last night?	0
322	It was hot yesterday.	0
323	Yesterday was my birthday.	0
324	It was hot last night.	0
325	I slept well last night.	0
326	Yukio Mishima killed himself in 1970.	0
327	I took a walk.	0
328	The work progressed smoothly.	0
329	The child was afraid of being left alone in the dark.	0
330	The market rallied.	0
331	I guessed right.	0
332	I cooked dinner.	0
333	He arrived after I had left.	0
334	It was here that I saw her.	0
335	She was out when I called.	0
336	We had a little water.	0
337	We went to Gifu.	0
338	We lost by two points.	0
339	We exchanged greetings.	0
340	We talked for some time.	0
341	We rested for a while.	0
342	I telephoned her at once.	0
343	We enjoyed skating.	0
344	We had a lovely meal.	0
345	We painted the house green.	0
346	We agreed to the plan.	0
347	We swam in the lake.	0
348	All of us stood up.	0
349	All of us were silent.	0
350	We enjoyed swimming.	0
351	We set out for home.	0
352	We swam in the sea.	0
353	We bought a round table.	0
354	We got into a car.	0
355	We kept quiet.	0
356	We rode on a boat.	0
357	We were all tired.	0
358	We lay on the grass.	0
359	We left him some cake.	0
360	We suspected him of lying.	0
361	We felt sympathy for her.	0
362	We admired the beautiful sunset.	0
363	We adopted an alternative method.	0
364	We talked until two.	0
365	We played baseball.	0
366	We got ready.	0
367	We expected better terms.	0
368	It was her that told me.	0
369	My sister got engaged.	0
370	He made me a suit.	0
371	My grandmother was a farmer.	0
372	I have buck teeth.	0
373	My arms went numb.	0
374	I was in Canada then.	0
375	I stopped listening to the radio.	0
376	I felt like crying.	0
377	I ordered new furniture.	0
378	I went to Nagasaki.	0
379	I let him go.	0
380	I lost face.	0
381	I waited for ten minutes.	0
382	I got up about five.	0
383	I got home at seven.	0
384	I slept nine hours.	0
385	I met your friend.	0
386	I bought that car.	0
387	A boy spoke to me.	0
388	I made Ann a doll.	0
389	I was in bed with the flu.	0
390	I went down by elevator.	0
391	I once lived in Rome.	0
392	I lost my camera.	0
393	I pawned my camera.	0
394	I got the ticket for nothing.	0
395	I beat him at golf.	0
396	I sat next to John.	0
397	I made John happy.	0
398	I was not a bit tired.	0
399	I was deeply moved by that.	0
400	I didn't know that.	0
401	I met lots of famous people at that party.	0
402	I was moved by the music.	0
403	I saw the man jump.	0
404	I reflected on the problem.	0
405	I studied it thoroughly.	0
406	I bought it.	0
407	I forgot it.	0
408	I got out of the taxi.	0
409	I stopped to smoke.	0
410	I stopped smoking.	0
411	I accused him of cheating.	0
412	I saw him just now.	0
413	I hid under the table.	0
414	I played tennis.	0
415	I opened the door slowly.	0
416	I felt very happy.	0
417	I found Tony.	0
418	I helped Tony.	0
419	I called Tom up.	0
420	I saw her at the party.	0
421	I was at the party.	0
422	I glanced through the brochure.	0
423	I traveled by myself.	0
424	I played football.	0
425	I pocketed my keys.	0
426	I clapped my hands.	0
427	I gave Mary a book.	0
428	I finally got across the river.	0
429	I was forced to go.	0
430	I got a good seat.	0
431	I turned on the lights.	0
432	I heard it on the radio.	0
433	I turned off the radio.	0
434	I bought a book.	0
435	I studied for one hour.	0
436	I met an old woman.	0
437	I was busy all day.	0
438	I was lucky.	0
439	I stopped smoking and drinking.	0
440	I saw nothing.	0
441	I tried again and again.	0
442	I went home.	0
443	I have a student visa.	0
444	I had a good time.	0
445	I felt cold.	0
446	I ate a hasty lunch.	0
447	I met my classmate.	0
448	I was hit by the policeman.	0
449	I felt lonely.	0
450	I was embarrassed.	0
451	I saw him again.	0
452	I confessed my sin.	0
453	I caught five fish yesterday.	0
454	I helped my father yesterday.	0
455	I wasn't busy yesterday.	0
456	I cooked supper last night.	0
457	I retired last year.	0
458	I lost my umbrella.	0
459	I got my hair cut.	0
460	I failed the exam.	0
461	I had my watch repaired.	0
462	I bought a watch.	0
463	I lost my watch.	0
464	I oiled my bicycle.	0
465	I lay on my bed.	0
466	I left home at seven.	0
467	I turned right.	0
468	I wrote a letter.	0
469	I shook my head.	0
470	I had a good sleep.	0
471	I dragged the heavy baggage to the airport.	0
472	I was a little surprised.	0
473	I went aboard.	0
474	I bit my lip.	0
475	I got a new camera.	0
476	I bought a new bag.	0
477	I bought a new car.	0
478	I wanted red shoes.	0
479	I caught a cold last month.	0
480	I wasn't busy last week.	0
481	I got up early.	0
482	I ran out of breath.	0
483	I broke my leg.	0
484	I called for help.	0
485	I ate a hot dog for lunch.	0
486	I got on the train.	0
487	I tried to escape.	0
488	I went to the zoo.	0
489	I walked alone.	0
490	I saw him jump.	0
491	I asked who he was.	0
492	I saw him running away.	0
493	I thought he was sick.	0
494	I enjoyed talking with him.	0
495	I lent him a CD.	0
496	I made him do so.	0
497	I paid him the money.	0
498	I bought him a tie.	0
499	I made him open the door.	0
500	I found him a job.	0
501	I paid him four dollars.	0
502	I gave him my address.	0
503	I made him sweep the floor.	0
504	I bid against him.	0
505	I answered for him.	0
506	I gave him a book.	0
507	I told him to come.	0
508	I held his sleeve.	0
509	I followed him.	0
510	I forgot his address.	0
511	I accepted his invitation.	0
512	I attended his funeral.	0
513	I acted on his advice.	0
514	I asked for their approval.	0
515	I pointed at him.	0
516	I made him go.	0
517	I saw her swim.	0
518	I agreed with her.	0
519	I made friends with her.	0
520	I made her a dress.	0
521	I was disappointed in her.	0
522	I made her a doll.	0
523	I called her up.	0
524	I accepted her invitation.	0
525	I wanted to surprise her.	0
526	I was looking at her.	0
527	I was able to help her.	0
528	I was tired.	0
529	I caught a beautiful butterfly.	0
530	I ran for my life.	0
531	I ripped the envelope open.	0
532	I caught a cold.	0
533	I had to walk home.	0
534	I ran to my mother.	0
535	I sold a book.	0
536	I actually saw a ghost.	0
537	I anticipated trouble.	0
538	I studied before supper.	0
539	I contacted my parents.	0
540	I got up about six.	0
541	I got up at six.	0
542	I broke my arm.	0
543	I also went there.	0
544	All of us, including me, rode the bus.	0
545	We named the dog Tim.	0
546	We rented a canoe.	0
547	We had a narrow escape.	0
548	We studied English.	0
549	We ran after the thief.	0
550	We traveled in South America.	0
551	We sang as we walked.	0
552	The game became exciting.	0
553	An accident just happened.	0
554	Automobiles replaced carriages.	0
555	I heard a car stop in front of the house.	0
556	The car gave a jolt.	0
557	The snake swallowed a frog.	0
558	I failed the tests.	0
559	Autumn came and the leaves started to fall.	0
560	The heat kept me awake all night.	0
561	The girl trembled with fear.	0
562	The boy bowed to me.	0
563	Did you invite him?	0
564	My boss made me work overtime.	0
565	All the food was gone.	0
566	We ran out of food.	0
567	That was fabulous.	0
568	The cheering ceased.	0
569	The soap hurt my eyes.	0
570	The baby started to cry.	0
571	The baby stopped crying.	0
572	It began to snow.	0
573	I bought it last week.	0
574	I was very busy last week.	0
575	A bridge was built across the river.	0
576	All were present.	0
577	I found a nice cup.	0
578	I was disappointed in my son.	0
579	I had no other choice.	0
580	The sun came out.	0
581	We flew across the Atlantic.	0
582	It was very hot.	0
583	I heard someone whistle.	0
584	Somebody touched me.	0
585	Who made this pie?	0
586	Who painted this picture?	0
587	Who made this box?	0
588	Nobody taught me.	0
589	No one helped me.	0
590	Nobody came to my rescue.	0
591	Nobody came to help him.	0
592	Did you find what you were looking for?	0
593	It was a warm day.	0
594	The man got mad when his wife called him names.	0
595	Did you ask the price?	0
596	He left after he had lunch.	0
597	I put up a notice.	0
598	The audience was mostly businessmen.	0
599	The birds sang.	0
600	Did I hurt you?	0
601	My brother did.	0
602	My brother named his cat Hanako.	0
603	A thief broke in and made off with all my jewelry.	0
604	I worked all night.	0
605	There was a beautiful chandelier hanging from the ceiling.	0
606	Owing to the bad weather, the game was put off.	0
607	The weather turned bad.	0
608	The weather stayed bad.	0
609	The battery died.	0
610	I searched in my pocket for a coin to make a phone call.	0
611	I coughed up blood.	0
612	The light went on.	0
613	I had a headache, and I took the day off today.	0
614	I got lost.	0
615	I went on reading.	0
616	He died suddenly.	0
617	Their swords clashed.	0
618	They got married.	0
619	I pulled a muscle.	0
620	The Japanese attacked Pearl Harbor on December 7, 1941.	0
621	Admission was free.	0
622	The cat scratched my hand.	0
623	Strong coffee kept her awake all night.	0
624	He designed the car.	0
625	He came out of the room at last.	0
626	He acted as our guide.	0
627	I heard him coming downstairs.	0
628	He broke into a house.	0
629	It was a glass that he broke.	0
630	He moved into my neighborhood.	0
631	He was the first to come.	0
632	He came to my rescue.	0
633	I heard him go out.	0
634	He gave me a cold.	0
635	He had a strong alibi.	0
636	He had three sons.	0
637	My attitude towards him changed.	0
638	I called him up.	0
639	Did you telephone him?	0
640	His opinion was not accepted.	0
641	Few people understood his comment.	0
642	His face brightened.	0
643	What he said was not true.	0
644	He died of cancer.	0
645	His play was a hit.	0
646	His application went through.	0
647	His long speech bored us all.	0
648	I forgot his phone number.	0
649	He answered incorrectly.	0
650	His pace quickened.	0
651	His dream came true.	0
652	Few students knew his name.	0
653	His argument was logical.	0
654	He was English.	0
655	He kicked it.	0
656	He played piano by ear.	0
657	He made me a box yesterday.	0
658	He looked through a magazine.	0
659	He was shot to death.	0
660	He was hit by a car.	0
661	He went to Nara.	0
662	He took off his hat.	0
663	He bought a hat.	0
664	He slept an hour.	0
665	He got the first prize.	0
666	He took a day off.	0
667	He was very busy all day.	0
668	He took a step forward.	0
669	He ran five miles.	0
670	He visited many countries in Asia.	0
671	He looked about.	0
672	He was too angry to speak.	0
673	He married Ann.	0
674	He took out some coins.	0
675	He kept on crying.	0
676	He came late as usual.	0
677	He took off his overcoat.	0
678	He had no money.	0
679	He asked for money.	0
680	They smiled at each other.	0
681	His knees gave way.	0
682	He came back from Canada.	0
683	He zipped open his bag.	0
684	He has a camera.	0
685	He turned Christian.	0
686	He came home dead tired.	0
687	He slept soundly.	0
688	He was fast asleep.	0
689	He felt at home.	0
690	He shined his shoes.	0
691	He turned around.	0
692	He had dark brown hair.	0
693	He came back last August.	0
694	He left without saying goodbye.	0
695	He had jeans on.	0
696	He came back soon.	0
697	He left immediately.	0
698	He got tired soon.	0
699	He remained silent.	0
700	He lied readily.	0
701	He did not say so.	0
702	He was made to go there.	0
703	Didn't he go there?	0
704	Did he go there?	0
705	He jumped over the hedge.	0
706	He turned the corner.	0
707	He adopted the orphan.	0
708	He accepted the job.	0
709	He was here at that time.	0
710	He was tired then.	0
711	They adopted the little girl.	0
712	He added up the figures.	0
713	He complained about the noise.	0
714	He killed him.	0
715	He stuck the broken pieces together.	0
716	He crushed the box.	0
717	He died of that disease.	0
718	He mentioned it.	0
719	He decided on that.	0
720	He finished it as quick as lightning.	0
721	He kept it secret.	0
722	He was very old.	0
723	He flew a kite.	0
724	He decided to quit smoking.	0
725	He stopped smoking.	0
726	He promised not to smoke.	0
727	He lived a hard life.	0
728	He found the box under the table.	0
729	He played tennis.	0
730	He turned the key.	0
731	He opened the door.	0
732	He didn't tell me what the matter was.	0
733	Words failed him.	0
734	He finally got his wish.	0
735	How did he come?	0
736	He appeared from nowhere.	0
737	Where was he born?	0
738	He was very fun.	0
739	He was very happy.	0
740	He walked rapidly.	0
741	He turned a somersault.	0
742	He acted foolishly.	0
743	He got off the bus.	0
744	He visited Nara by bus.	0
745	He took out his handkerchief.	0
746	He was drunk on beer.	0
747	He asked for a beer.	0
748	He burned himself badly.	0
749	He was badly wounded.	0
750	He got very drunk.	0
751	He was very poor.	0
752	He appeared hungry.	0
753	He stood against the wall.	0
754	He sat on the bed.	0
755	He got out his pen.	0
756	They got into the boat.	0
757	He kicked the ball.	0
758	He threw the ball.	0
759	He bought a Honda.	0
760	He came here again.	0
761	He struck a match.	0
762	Did he go to see Mary?	0
763	They made fun of Mary.	0
764	He wore glasses.	0
765	He stood up slowly.	0
766	He pulled the rope.	0
767	He made a robot.	0
768	He made an apology.	0
769	He was afraid of the dark.	0
770	He remained poor all his life.	0
771	He studied very hard.	0
772	He remained single all his life.	0
773	He slept all day.	0
774	He kept silent all day.	0
775	He died one year ago.	0
776	He skipped a grade.	0
777	He extended his right arm.	0
778	He predicted there would be rain.	0
779	He learned how to swim.	0
780	He learned to swim.	0
781	He began to learn English.	0
782	He started to speak English.	0
783	He joined the English club.	0
784	He studied English history.	0
785	He hurried to the station.	0
786	He exchanged yen for dollars.	0
787	He delivered a speech.	0
788	He was more than a king.	0
789	He described exactly what happened.	0
790	What was he up to?	0
791	He was at home.	0
792	He mailed a letter home.	0
793	He walked home.	0
794	He abandoned his family.	0
795	He started singing.	0
796	He extinguished the fire.	0
797	He dropped a vase.	0
798	He put the luggage down.	0
799	He abused our trust.	0
800	He studied abroad.	0
801	He walked along the shore.	0
802	He came downstairs.	0
803	He just returned from abroad.	0
804	He went abroad.	0
805	He was in time for school.	0
806	He was absent from school.	0
807	He was covered with sweat.	0
808	He made a mistake.	0
809	He was exposed to danger.	0
810	He was in critical condition.	0
811	He put up a flag.	0
812	He was hard to please.	0
813	He lost his memory.	0
814	He was appointed chairman.	0
815	He accepted his appointment as chairman.	0
816	He acted as chairman.	0
817	He needed to rest.	0
818	He stopped short.	0
819	He began to cry.	0
820	He dozed off.	0
821	He began to shout.	0
822	He heard a shout.	0
823	He cried out.	0
824	He ran into the classroom.	0
825	He acted like a madman.	0
826	He lay on his back.	0
827	He fell backward.	0
828	He had a bitter experience.	0
829	He cried out in pain.	0
830	He asked after you.	0
831	He was sentenced to death.	0
832	He was sent to prison.	0
833	He dug a hole.	0
834	He seemed disappointed at the results.	0
835	He was right after all.	0
836	He got well again.	0
837	He was killed with a sword.	0
838	They walked side by side.	0
839	He looked well.	0
840	He didn't know how to express himself.	0
841	He wore old shoes.	0
842	He had trouble breathing.	0
843	He looked back.	0
844	He was unwilling to go.	0
845	He behaved badly.	0
846	He gave in.	0
847	He traveled throughout the country.	0
848	He traveled around the country.	0
849	He became a national hero.	0
850	He caught a terrible cold.	0
851	He looked around.	0
852	He hurt his left hand.	0
853	He missed the last train.	0
854	He did his best.	0
855	He died yesterday.	0
856	He visited his uncle yesterday.	0
857	He was accused of murder.	0
858	He was guilty of murder.	0
859	He went there on business.	0
860	He stuck to his job.	0
861	He changed his job.	0
862	He watched the boys swimming.	0
863	He was elected mayor again.	0
864	He was elected mayor.	0
865	He was condemned to death.	0
866	He stole my watch.	0
867	He helped me carry the baggage.	0
868	He made me a new suit.	0
869	He found me a taxi.	0
870	He called me a cab.	0
871	He gave me a hint.	0
872	He twisted my arm.	0
873	He lied to me.	0
874	He came to see me.	0
875	He gave me a watch.	0
876	He got me a watch.	0
877	He lent me two books.	0
878	He made me sing.	0
879	He gave me a wink.	0
880	He married my cousin.	0
881	He got engaged to my cousin.	0
882	He accepted my present.	0
883	He looked over my report.	0
884	He acted as my guide.	0
885	He accepted my idea.	0
886	He stood behind me.	0
887	He blocked my way.	0
888	He was just behind me.	0
889	He entered my room.	0
890	He called my name.	0
891	He stared at me.	0
892	He made me go.	0
893	He kept me waiting.	0
894	He forced me to go.	0
895	He showed us some pictures.	0
896	He kept quite calm.	0
897	He tried opening the door.	0
898	He went to the dentist.	0
899	He committed suicide.	0
900	He went by bicycle.	0
901	He did it himself.	0
902	He prepared supper by himself.	0
903	He admitted his mistakes.	0
904	He got through his work.	0
905	He waited his turn.	0
906	He took a picture.	0
907	He came by car.	0
908	He drove to school.	0
909	He was run over by a car.	0
910	He stopped the car.	0
911	He started washing his car.	0
912	He ran into debt.	0
913	He appeared young.	0
914	He was chosen captain.	0
915	His hands were empty.	0
916	He raised his arm.	0
917	He tried many different methods.	0
918	He hanged himself.	0
919	He shook his head.	0
920	He crossed himself.	0
921	He was absent at roll call.	0
922	He called for help.	0
923	He traveled on business.	0
924	He was small, but strong.	0
925	He drank a little.	0
926	He was embarrassed.	0
927	He was in good spirits.	0
928	He had no coat on.	0
929	He asked for food.	0
930	He lost his honor.	0
931	He breathed deeply.	0
932	He accepted our offer.	0
933	He told the truth.	0
934	He was patient.	0
935	He made it.	0
936	He came here before noon.	0
937	He wore a mask so that no one could recognize him.	0
938	He appeared honest.	0
939	He insured himself.	0
940	He acted like a saint.	0
941	He was dressed in blue.	0
942	He lost color.	0
943	He walked quietly.	0
944	He wore red pants.	0
945	He drowned in the river.	0
946	He was killed in the war.	0
947	He was wounded in the war.	0
948	He became a sailor.	0
949	He saved a sailor.	0
950	He was sent into combat.	0
951	He ran at full speed.	0
952	He heard the noise.	0
953	He held his breath.	0
954	He was out of breath.	0
955	He was wet all over.	0
956	He was elected president.	0
957	He was very excited.	0
958	He had ambition.	0
959	He was wounded by a bullet.	0
960	The news made them happy.	0
961	He sang off key.	0
962	He was a tall man.	0
963	He was in pain.	0
964	He walked across the street.	0
965	He cut down a tree in his garden.	0
966	He was covered with mud.	0
967	He painted the ceiling blue.	0
968	He jumped on the train.	0
969	He forgot to turn off the light.	0
970	He hung up.	0
971	He was frozen to death.	0
972	He moved to Tokyo.	0
973	He looked bewildered.	0
974	He attempted to escape.	0
975	He was wounded in the head.	0
976	His head ached.	0
977	He was put in a cell.	0
978	He solved the difficult problem.	0
979	He came about two.	0
980	He accomplished his mission.	0
981	He grew old.	0
982	He accepted her gift.	0
983	He bought her a dog.	0
984	He gave her a book.	0
985	He made her a bookshelf.	0
986	He adopted her idea.	0
987	He ignored her advice.	0
988	He sat next to her.	0
989	He scolded her.	0
990	He glanced at her.	0
991	He swindled her.	0
992	He slapped her.	0
993	He made her happy.	0
994	He jumped on.	0
995	He smiled and left.	0
996	His nose bled.	0
997	It seemed that he was sick.	0
998	He seemed to have been ill.	0
999	He felt uneasy.	0
1000	He came into the room.	0
1001	He had a strange dream.	0
1002	He was held in captivity.	0
1003	He skimmed through the report.	0
1004	He broke the law.	0
1005	He kept his hat on.	0
1006	He gave up hope.	0
1007	He objected to our plan.	0
1008	I fell asleep.	0
1009	He arrived safely.	0
1010	He did it for fun.	0
1011	He fixed the net.	0
1012	He remained dumb.	0
1013	He went blind.	0
1014	He closed his eyes.	0
1015	He stuck to his promise.	0
1016	He broke his word.	0
1017	He was declared guilty.	0
1018	He became a famous actor.	0
1019	He advised caution.	0
1020	He turned traitor.	0
1021	He walked away.	0
1022	He got home at six.	0
1023	He stopped talking.	0
1024	We knelt down to pray.	0
1025	He saw it also.	0
1026	Some pitied them.	0
1027	They had no food.	0
1028	Their lips met.	0
1029	They stayed up late talking.	0
1030	They exchanged greetings.	0
1031	They walked around.	0
1032	They feared you.	0
1033	They hunted foxes.	0
1034	They were school children then.	0
1035	They abandoned the plan.	0
1036	They adopted the orphan.	0
1037	They acted on the information.	0
1038	They admired the lovely scenery.	0
1039	They gave it to me.	0
1040	They hated Tom.	0
1041	They each received a present.	0
1042	They painted the fence green.	0
1043	They arrived at the hotel.	0
1044	They questioned him.	0
1045	All of them went there.	0
1046	They sang in tune.	0
1047	They offered assistance.	0
1048	They waited for him for hours.	0
1049	They agreed to work together.	0
1050	They embraced tightly.	0
1051	They called off their engagement.	0
1052	They accomplished their mission.	0
1053	They made me go there.	0
1054	They addressed me as doctor.	0
1055	They made us work all day.	0
1056	They visited me occasionally.	0
1057	They teased the new student.	0
1058	They thanked God.	0
1059	They headed westward.	0
1060	They crept forward.	0
1061	They agreed to start early.	0
1062	They named their son John.	0
1063	They agreed on a price.	0
1064	They abandoned the sinking ship.	0
1065	They found the stolen money.	0
