as_tags,type
"['NNP', 'VBZ', 'JJ', '.']",present simple
"['DT', 'NN', 'VBZ', 'JJ', '.']",present simple
"['DT', 'NN', 'VBZ', 'JJ', 'IN', 'NNS', '.']",present simple
"['IN', 'DT', 'JJ', 'NN', 'CC', 'VB', 'PRP', 'IN', 'NN', '.']",present simple
"['NNP', 'NN', '.']",present simple
"['NNP', 'NN', 'IN', 'DT', 'NNS', 'VBP', 'JJ', 'IN', 'RB', 'RB', 'IN', 'JJ', '.']",present simple
"['VB', 'PRP$', 'NN', 'TO', 'VB', 'CD', '.']",present simple
"['VBZ', 'DT', 'NN', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'IN', 'DT', 'NN', '.']",present simple
"['VB', 'PRP', 'PRP$', 'NN', '.']",present simple
"['NNP', 'DT', 'JJ', '.']",present simple
"['VB', 'RP', 'PRP$', 'NN', '.']",present simple
"['VB', 'PRP', 'DT', 'NN', ',', 'IN', 'PRP', 'VBP', 'DT', '.']",present simple
"['VBP', 'RB', 'VB', 'IN', 'NN', '.']",present simple
"['PRP', 'VBP', 'DT', 'JJ', 'NN', '.']",present simple
"['NN', 'VBZ', 'JJR', 'IN', 'NN', '.']",present simple
"['VB', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']",present simple
"['EX', 'VBZ', 'DT', 'NN', 'IN', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'DT', 'NN', 'WDT', 'VBZ', 'DT', 'JJ', 'NNS', '.']",present simple
"['NNP', 'VBZ', 'JJ', 'NNS', '.']",present simple
"['NN', 'TO', 'DT', 'NN', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'IN', 'PRP', 'VBP', 'IN', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'TO', 'RB', '.']",present simple
"['VBP', 'RB', 'VB', 'PRP', 'IN', 'DT', '.']",present simple
"['PRP', 'VBP', 'VBN', '.']",present simple
"['VB', 'PRP$', 'NN', 'NN', '.']",present simple
"['VB', 'RP', 'PRP$', 'NN', 'WRB', 'PRP', 'VBP', 'DT', 'NN', '.']",present simple
"['VB', 'IN', 'IN', 'DT', 'NN', '.']",present simple
"['NN', 'VBZ', 'JJ', 'IN', 'DT', 'NN', '.']",present simple
"['NNP', 'VBD', 'RB', 'IN', 'PRP', 'VBP', 'DT', 'NN', '.']",present simple
"['VB', 'TO', 'PRP', 'IN', 'PRP$', 'NNS', 'VBD', '.']",present simple
"['NN', 'VBZ', 'IN', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'VBN', '.']",present simple
"['VBP', 'PRP', 'IN', 'NNP', '.']",present simple
"['JJ', 'NN', 'IN', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'JJ', 'NN', '.']",present simple
"['VBP', 'PRP', 'VB', 'DT', 'NN', '.']",present simple
"['PRP', 'VBP', 'NNS', '.']",present simple
"['VB', 'TO', 'VB', 'IN', 'VBG', '.']",present simple
"['VB', 'TO', 'VB', 'IN', 'IN', 'DT', 'NN', 'NN', 'VBZ', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'RB', '.']",present simple
"['NNP', ',', 'CC', 'PRP', 'MD', 'VB', 'DT', 'NN', '.']",present simple
"['NNP', 'RB', ',', 'CC', 'PRP', 'MD', 'VB', 'DT', 'NN', '.']",present simple
"['NNP', 'RB', ',', 'CC', 'PRP', 'MD', 'VB', 'IN', 'NN', 'IN', 'NN', '.']",present simple
"['NNP', 'RP', '.', 'PRP', 'MD', 'VB', 'RB', 'IN', 'NN', '.']",present simple
"['NNP', 'RP', ',', 'CC', 'PRP', 'MD', 'VB', 'DT', 'NN', '.']",present simple
"['NNP', 'RP', ',', 'CC', 'PRP', 'MD', 'VB', 'DT', 'JJ', 'NN', '.']",present simple
"['NNP', 'RP', ',', 'CC', 'PRP', 'MD', 'VB', 'RB', 'IN', 'DT', 'JJ', 'NN', '.']",present simple
"['NNP', 'RP', ',', 'CC', 'PRP', 'MD', 'VB', 'RB', 'IN', 'NN', '.']",present simple
"['NNP', 'RP', ',', 'CC', 'PRP', 'MD', 'VB', 'RB', '.']",present simple
"['NNP', 'RP', ',', 'CC', 'PRP', 'MD', 'RB', 'VB', 'RP', 'IN', 'PRP', '.']",present simple
"['NNP', 'RB', '.', 'DT', 'NN', 'VBZ', 'VBG', '.']",present simple
"['NNP', 'RP', ',', 'CC', 'PRP', 'MD', 'VB', 'DT', 'NN', '.']",present simple
"['NNP', 'RP', ',', 'CC', 'PRP', 'MD', 'VB', 'JJ', 'IN', 'NN', '.']",present simple
"['NNP', 'RP', ',', 'CC', 'PRP', 'MD', 'VB', 'DT', 'NN', '.']",present simple
"['NNP', 'RP', ',', 'CC', 'PRP', 'MD', 'VB', 'PRP$', 'NN', '.']",present simple
"['NNP', 'RB', ',', 'CC', 'PRP', 'MD', 'VB', 'JJ', 'TO', 'VB', 'DT', 'NN', '.']",present simple
"['NNP', 'RB', ',', 'CC', 'PRP', 'MD', 'VB', 'DT', 'NN', '.']",present simple
"['NNP', 'RB', ',', 'CC', 'PRP', 'MD', 'VB', 'IN', 'NN', 'IN', 'NN', '.']",present simple
"['NNP', 'RB', ',', 'CC', 'PRP', 'MD', 'VB', 'IN', 'NN', 'IN', 'DT', 'NN', '.']",present simple
"['NNP', 'RB', ',', 'CC', 'PRP', 'MD', 'VB', 'DT', 'NN', '.']",present simple
"['NNP', 'RP', ',', 'CC', 'PRP', 'MD', 'VB', 'DT', 'NN', '.']",present simple
"['NNP', 'RP', ',', 'CC', 'PRP', 'MD', 'VB', 'RB', '.']",present simple
"['NNP', 'RP', ',', 'CC', 'PRP', 'MD', 'VB', 'DT', 'NN', '.']",present simple
"['NNP', 'JJ', ',', 'CC', 'PRP', 'MD', 'VB', 'DT', 'NN', '.']",present simple
"['NNP', ',', 'CC', 'PRP', 'MD', 'VB', 'DT', 'NN', '.']",present simple
"['NNP', 'RB', ',', 'RB', 'PRP', 'MD', 'VB', 'RB', 'IN', 'NN', '.']",present simple
"['NN', 'VBZ', 'NN', '.']",present simple
"['NNP', 'RB', ',', 'NNP', '.']",present simple
"['NNP', 'RB', '.', 'DT', 'NN', 'VBZ', 'IN', 'JJ', 'NNS', '.', 'PRP', 'VBP', 'RB', 'VB', 'TO', 'VB', 'PRP', '.']",present simple
"['NNP', 'RP', ',', 'CC', 'PRP', 'MD', 'VB', 'RB', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'PRP$', 'NN', '.']",present simple
"['VB', 'DT', 'JJS', 'IN', 'PRP$', 'NN', '.']",present simple
"['VB', 'PRP', 'WP', 'PRP', 'VBD', 'IN', 'PRP$', 'NNS', '.']",present simple
"['NN', 'IN', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'DT', 'NN', 'IN', 'NN', 'VBZ', 'JJ', 'IN', 'PRP$', 'NN', '.']",present simple
"['NNP', 'NNP', 'NN', '.']",present simple
"['VB', 'TO', 'VB', 'PRP$', 'NN', '.']",present simple
"['NNP', 'IN', 'NNS', '.']",present simple
"['VB', 'TO', 'DT', 'NN', '.']",present simple
"['PRP', 'VBP', 'JJ', '.']",present simple
"['PRP', 'VBP', 'NNS', '.']",present simple
"['PRP', 'VBP', 'PRP$', 'JJS', 'NN', '.']",present simple
"['PRP', 'IN', 'NNP', '.']",present simple
"['PRP', 'IN', 'NNS', '.']",present simple
"['PRP', 'VBP', 'DT', 'NN', '.']",present simple
"['VB', 'PRP', 'VB', 'WRB', 'PRP', 'MD', 'VB', '.']",present simple
"['VB', 'PRP$', 'NNS', 'IN', 'NN', '.']",present simple
"['VB', 'PRP$', 'NNS', 'IN', 'DT', 'NN', '.']",present simple
"['RB', 'VB', 'PRP$', 'NNS', 'VBD', '.']",present simple
"['NNP', 'PRP', 'VBG', 'PRP', '.']",present simple
"['VBP', 'PRP', 'VB', 'JJ', '.']",present simple
"['PRP', 'VBP', 'VBN', '.']",present simple
"['NNP', 'CC', 'VB', 'RP', '.']",present simple
"['VBP', 'RB', 'VB', 'PRP$', 'NN', '.']",present simple
"['VB', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'JJ', 'NN', '.']",present simple
"['VB', 'PRP', 'JJ', '.']",present simple
"['VB', 'PRP', 'JJ', '.', 'PRP', 'MD', 'VB', 'PRP', 'IN', 'NNS', 'VBP', 'IN', 'PRP$', 'NN', '.']",present simple
"['VB', 'PRP', 'JJ', '.', 'PRP', 'MD', 'VB', 'PRP', 'IN', 'NN', 'MD', 'VB', 'RP', 'NN', '.']",present simple
"['VB', 'PRP', 'JJ', '.']",present simple
"['VB', 'RP', '.', 'EX', 'VBZ', 'DT', 'NN', 'VBG', '.']",present simple
"['NNP', 'NN', '.']",present simple
"['VB', 'PRP$', 'VB', 'RP', 'DT', 'JJ', '.']",present simple
"['VB', 'RP', '.', 'EX', 'VBZ', 'DT', 'JJ', 'NN', 'RB', '.']",present simple
"['VBP', 'RB', 'VB', 'IN', 'PRP', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', '.']",present simple
"['VB', 'PRP', '.']",present simple
"['PRP', 'VBP', 'PRP$', 'NN', '.']",present simple
"['VB', 'RP', 'DT', 'NN', '.', 'PRP', 'MD', 'RB', 'VB', '.']",present simple
"['VB', 'JJ', 'TO', 'VB', 'NN', 'IN', 'PRP', 'VBP', 'DT', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'RP', 'IN', 'PRP$', 'NN', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'RB', 'RB', 'JJ', 'IN', 'NN', '.']",present simple
"['NNP', 'RB', 'VBZ', 'PRP', 'VBP', 'RB', '.']",present simple
"['NNP', 'RB', ',', 'VB', 'RB', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['NN', 'DT', 'NN', 'TO', 'VB', 'DT', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'RB', 'PRP$', 'NN', '.']",present simple
"['VB', 'PRP$', 'NN', 'NNS', 'TO', 'NNP', 'NNP', '.']",present simple
"['VB', 'NNS', 'VB', 'NNS', '.']",present simple
"['DT', 'NN', 'VBZ', 'RP', '.']",present simple
"['NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', '.']",present simple
"['NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', '.']",present simple
"['DT', 'NN', 'NN', 'VBZ', 'JJ', '.']",present simple
"['VBP', 'RB', 'VB', 'RP', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'PRP$', 'NNS', 'VBP', '.']",present simple
"['VBP', 'RB', 'VB', 'NNS', '.']",present simple
"['VBP', 'RB', 'VB', 'NNS', '.']",present simple
"['VB', 'RP', '.', 'EX', 'VBZ', 'DT', 'NN', 'VBG', '.']",present simple
"['VB', 'RP', '.']",present simple
"['VB', 'DT', 'JJ', 'CC', 'VB', 'RP', 'DT', 'NNS', '.']",present simple
"['PRP', 'VBZ', 'JJ', '.']",present simple
"['IN', 'PRP$', 'NN', '.']",present simple
"['IN', 'PRP$', 'NN', 'NN', '.']",present simple
"['VB', 'PRP$', 'NN', 'DT', 'NN', '.']",present simple
"['NNP', 'RB', '.']",present simple
"['PRP$', 'NN', 'VBZ', 'JJ', '.']",present simple
"['PRP$', 'NN', 'NNS', '.']",present simple
"['VB', 'RP', 'IN', 'NN', 'NNS', '.']",present simple
"['VB', 'PRP', 'DT', 'NNS', 'PRP', 'VBP', 'IN', 'DT', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'IN', 'NNS', '.']",present simple
"['NNP', 'PRP$', 'VBG', 'IN', 'PRP', 'VBZ', 'JJ', '.']",present simple
"['VB', 'RP', 'PDT', 'DT', 'JJ', 'NNS', '.']",present simple
"['VBP', 'RB', 'VB', 'IN', 'PRP', 'IN', 'VBG', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NNS', 'IN', 'EX', 'VBP', 'DT', '.']",present simple
"['VBP', 'RB', 'VB', 'JJ', 'IN', 'VBG', 'NNS', '.']",present simple
"['VBP', 'RB', 'VB', 'IN', 'VBG', 'NNS', '.']",present simple
"['VBP', 'RB', 'VB', 'DT', 'NN', '.']",present simple
"['NNP', 'NN', 'IN', 'PRP', 'VBP', 'IN', 'CD', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'JJ', 'NN', '.']",present simple
"['DT', 'MD', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', '.']",present simple
"['NNP', 'VBZ', 'NN', '.']",present simple
"['VB', 'TO', 'VB', 'JJ', 'CC', 'JJ', '.']",present simple
"['VB', 'PRP', 'DT', 'NN', '.']",present simple
"['VB', 'PRP', 'DT', 'NN', ',', 'NN', '.']",present simple
"['NN', 'VBZ', 'NN', '.']",present simple
"['NN', 'DT', 'NN', 'TO', 'PRP', '.']",present simple
"['PRP', 'VBP', 'JJ', '.']",present simple
"['VB', 'PRP', 'DT', 'JJ', 'NN', '.']",present simple
"['NNP', 'DT', 'NN', '.']",present simple
"['NNP', 'DT', 'NN', 'RP', 'IN', 'DT', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'IN', 'DT', 'JJ', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'IN', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'NNS', 'IN', 'NN', '.']",present simple
"['NNP', 'PRP$', 'NN', 'IN', 'DT', 'NN', '.']",present simple
"['NNP', 'NN', '.']",present simple
"['VBP', 'DT', 'JJ', 'NN', '.']",present simple
"['VB', 'DT', 'JJ', 'NN', '.']",present simple
"['VB', 'PRP', '.']",present simple
"['NNP', 'NN', ',', 'CC', 'VBP', 'RB', 'VB', 'VBN', '.']",present simple
"['VB', 'PRP$', 'NN', '.']",present simple
"['VBP', 'DT', 'JJ', 'NN', '.']",present simple
"['VBP', 'DT', 'JJ', 'NN', '.']",present simple
"['VBP', 'DT', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'PRP$', 'NN', '.']",present simple
"['NNP', 'IN', 'JJ', 'NNS', 'IN', 'PRP', 'MD', 'IN', 'PRP', 'VBP', 'DT', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'TO', 'VB', 'DT', 'NN', 'IN', 'PRP$', 'NN', 'TO', 'NN', '.']",present simple
"['IN', 'PRP$', 'NN', 'IN', 'PRP', 'VBP', 'TO', 'NN', '.']",present simple
"['VB', 'TO', 'NN', '.']",present simple
"['NN', 'VBZ', 'IN', 'CD', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'JJ', 'IN', 'NN', '.']",present simple
"['DT', 'NN', 'VBZ', 'RB', 'JJ', 'TO', 'VB', '.']",present simple
"['VB', 'PRP', 'DT', 'JJ', 'NN', '.']",present simple
"['IN', 'DT', 'NN', ',', 'NNS', 'VBP', 'DT', 'NN', 'IN', 'JJ', '.']",present simple
"['VB', 'PRP$', 'NN', 'WRB', 'PRP', 'VBP', ',', 'NN', ',', 'CC', 'NN', '.']",present simple
"['VB', 'PRP', 'IN', 'DT', 'JJ', 'JJ', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'NN', 'IN', 'NNS', '.']",present simple
"['VB', 'TO', 'PRP', 'IN', 'DT', 'NN', 'VBZ', 'VBN', 'IN', 'PRP', 'VBP', '.']",present simple
"['VBP', 'RB', 'VB', 'TO', 'VB', 'PRP$', 'NNS', 'IN', 'PRP', 'VBP', 'RP', '.']",present simple
"['NNP', 'PRP$', 'NN', 'IN', 'PRP', 'VBP', 'RP', '.']",present simple
"['VB', 'TO', 'PRP', 'IN', 'PDT', 'DT', 'NNS', 'VBP', 'VBN', 'IN', 'PRP', 'VBP', 'RP', '.']",present simple
"['NNP', 'NN', 'TO', 'VB', 'RP', 'DT', 'DT', 'NNS', 'IN', 'VBG', 'RP', '.']",present simple
